filename,original_local_path,local_path,content_type,pages,association,font_families,bytes,sha256,source_url
aesthetics-under-the-microscope-image-08.gif,/assets/5563ede9ce8a69ad27b2.gif,/assets/images/projects/aesthetics-under-the-microscope/aesthetics-under-the-microscope-image-08.gif,image/gif,/aesthetics-under-the-microscope,aesthetics-under-the-microscope,,9088603,f7a9f3179cca026be3b5d43c524e71e4356451593854dce92f72255582a376e2,https://static.wixstatic.com/media/430132_56481862e1dd4bbfbb1590c83a9341d0~mv2.gif
aesthetics-under-the-microscope-image-09.gif,/assets/98bbe893583cc5ccf3e1.gif,/assets/images/projects/aesthetics-under-the-microscope/aesthetics-under-the-microscope-image-09.gif,image/gif,/aesthetics-under-the-microscope,aesthetics-under-the-microscope,,6681771,a40aa49916145cb41533244f2cb3fd6fd5627a211981adc597d6ea3a6d31026d,https://static.wixstatic.com/media/430132_f8f79584340e4cd0bc814b85c1865228~mv2.gif
breathe-image-01.png,/assets/c867c4bd403bf5b46f55.png,/assets/images/projects/breathe/breathe-image-01.png,image/png,/; /breathe; /projects,breathe,,6175792,d07e3d11cd6e044057f9756b6a04d3457da31991e7ab4eec361007d71997b24d,https://static.wixstatic.com/media/430132_4cc4c01f9a1f42f59c5edf005d237e16~mv2.png
breathe-image-02.jpg,/assets/a5526405011fc410dbf0.jpg,/assets/images/projects/breathe/breathe-image-02.jpg,image/jpeg,/breathe,breathe,,4052085,892fce3a0cd03069fab4ba9e2e7012e7d95d3f058503d62f23d7fd03ab15518b,https://static.wixstatic.com/media/430132_cb1b3ed736154cbbbf48710840beec67~mv2.jpg
breathe-image-03.jpg,/assets/0188b6aeb28460146c80.jpg,/assets/images/projects/breathe/breathe-image-03.jpg,image/jpeg,/breathe,breathe,,744423,bdd72bdca771e247c2872abfb706b11e789049941820bdc5301074c8d0a4cbae,https://static.wixstatic.com/media/430132_88b32249afa04cc684e171a955f9b773~mv2.jpg
breathe-image-04.jpg,/assets/236f5ecc885ae42448eb.jpg,/assets/images/projects/breathe/breathe-image-04.jpg,image/jpeg,/breathe,breathe,,2438309,0df73db02e93395445983b05ae0089ff54c0e7b1531945aaadff0debd825db7f,https://static.wixstatic.com/media/430132_87fe150cb96e43e2b0da8061892e74ff~mv2.jpg
breathe-image-05.jpg,/assets/000687d985398037be79.jpg,/assets/images/projects/breathe/breathe-image-05.jpg,image/jpeg,/breathe,breathe,,1159177,459cedb9e1fb4d3a44bd8d4066c7b2f62150abb70db36d3b245a971a159318c1,https://static.wixstatic.com/media/430132_f640b87809ee4211b0289660d20e79c2~mv2.jpg
breathe-image-06.jpg,/assets/2e75d956dce119208e35.jpg,/assets/images/projects/breathe/breathe-image-06.jpg,image/jpeg,/breathe,breathe,,3389555,42b5aa15bc2e208b2f0cbd4f180907dfc2ccf9b568a20849716f6f3b6062d08e,https://static.wixstatic.com/media/430132_49db42908ccb4bdf8fc85f810e018a69~mv2.jpg
breathe-image-07.jpg,/assets/cd84c2d9b621410c22e0.jpg,/assets/images/projects/breathe/breathe-image-07.jpg,image/jpeg,/breathe,breathe,,1677498,ea188e37b8227849377522802e46012539c8732e225529780211db55ed0bc3f0,https://static.wixstatic.com/media/430132_d44ff16549d240b98402961e0bb1a82e~mv2.jpg
breathe-image-08.png,/assets/e5fbc371f7f05fd072e1.png,/assets/images/projects/breathe/breathe-image-08.png,image/png,/breathe,breathe,,29852498,eea6514dd8504d533dfa9ac34fc77a9138caad8b47295b8bba4780c445e67c09,https://static.wixstatic.com/media/430132_1e0938d5486d4f88ada9558794bd6c19~mv2.png
